GR-IDENTIFICACAO-UORG;IT-NO-UNIDADE-ORGANIZACIONAL;IT-SG-UNIDADE-ORGANIZACIONAL;IT-SG-UF;GR-CEST-IDENTIFICACAO-UPAG;IT-CO-UORG-VINCULACAO
33200000000808;ARTE EM LUCAS DO RIO VERDE;ARTE-LUCAS;MT;33200000001094;33200000000799
33200000001777;ARTE-LUCAS-RIO;ARTE-LUCAS;MT;33200000001094;33200000001554
33200000000678;MTE/SRTE-DF/ARTE-LUZIANIA;ARTE-LUZIA;GO;33200000001094;33200000001550
33200000000476;MTE/SRTE-RJ/GRTE-CABO FRIO/ARTE-MACAE;ARTE-MACAE;RJ;33200000001094;33200000000471
33200000000415;MTE/SRTE-RJ/ARTE-MADUREIRA;ARTE-MADUR;RJ;33200000001094;33200000000412
33200000000465;MTE/SRTE-RJ/.../ARTE-MAGE;ARTE-MAGE;RJ;33200000001094;33200000000462
33200000000414;MTE/SRTE-RJ/ARTE-MARECHAL HERMES;ARTE-MALHE;RJ;33200000001094;33200000000412
33200000000547;MTE/SRTE-AM/ARTE-MANACAPURU;ARTE-MANAC;AM;33200000001094;33200000000531
33200000000895;MTE/SRTE-MG/.../ARTE-MANHUACU;ARTE-MANHU;MG;33200000001094;33200000000893
33200000000507;MTE/SRTE-CE/ARTE-MARACANAU;ARTE-MARAC;CE;33200000001094;33200000000495
33200000000500;MTE/SRTE-CE/ARTE-MARANGUAPE;ARTE-MARAN;CE;33200000001094;33200000000495
33200000000649;MTE/SRTE-ES/.../ARTE-MARATAIZES;ARTE-MARAT;ES;33200000001094;33200000000647
33200000000413;MTE/SRTE-RJ/ARTE-MEIER;ARTE-MEIER;RJ;33200000001094;33200000000412
33200000000430;MTE/SRTE-RJ/.../ARTE-MESQUITA;ARTE-MESQU;RJ;33200000001094;33200000000428
33200000000423;MTE/SRTE-RJ/.../ARTE-MIGUEL PEREIRA;ARTE-MIGUE;RJ;33200000001094;33200000000421
33200000000910;MTE/SRTE-MG/.../ARTE-MINAS NOVAS;ARTE-MINAS;MG;33200000001094;33200000000905
33200000000105;ARTE EM MINEIROS;ARTE-MINEI;GO;33200000001094;33200000000081
33200000001347;AG REGIONAL DO TRAB E EMPR EM MINEIROS;ARTE-MINEI;GO;33200000001094;33200000000081
33200000000337;MTE/SRTE-SP/.../ARTE-MOGI-MIRIM;ARTE-MOGI-;SP;33200000001094;33200000000331
33200000000338;MTE/SRTE-SP/.../ARTE-MOGI-GUACU;ARTE-MOGI-;SP;33200000001094;33200000000331
33200000000519;MTE/SRTE-CE/ARTE-MOMBACA;ARTE-MOMBA;CE;33200000001094;33200000000495
33200000000401;MTE/SRTE-SP/.../ARTE-MONTE ALTO;ARTE-MONTE;SP;33200000001094;33200000000396
33200000000104;ARTE EM MORRINHOS;ARTE-MORRI;GO;33200000001094;33200000000081
33200000001355;AG REGIONAL DO TRAB E EMPR EM MORRINHOS;ARTE-MORRI;GO;33200000001094;33200000000081
33200000000077;ARTE EM NAVIRAI;ARTE-NAVIR;MS;33200000001094;33200000000076
33200000001867;AG REGIONAL DO TRAB E EMPR EM NAVIRAI;ARTE-NAVIR;MS;33200000001094;33200000000076
33200000000612;ARTE EM NAZARE DA MATA;ARTE-NAZAR;PE;33200000001094;33200000000578
33200000001502;ARTE-NAZ-D-MATA;ARTE-NAZ-D;PE;33200000001094;33200000000578
33200000001651;ARTE-NOVA-LIMA;ARTE-NOVA-;MG;33200000001094;33200000000890
33200000000079;MTE/SRTE-MS/.../ARTE-NOVA ANDRADINA;ARTE-NOVAA;MS;33200000001094;33200000000076
33200000000891;ARTE EM NOVA LIMA;ARTE-NOVAL;MG;33200000001094;33200000000890
33200000000667;MTE/SRTE-ES/.../ARTE-NOVA VENECIA;ARTE-NOVAV;ES;33200000001094;33200000000666
33200000000310;MTE/SRTE-SP/.../ARTE-NOVO HORIZONTE;ARTE-NOVOH;SP;33200000001094;33200000000307
33200000000184;MTE/SRTE-SE/ARTE-N S DA GLORIA;ARTE-NSDAG;SE;33200000001094;33200000001693
33200000000937;MTE/SRTE-MG/.../ARTE-OLIVEIRA;ARTE-OLIVE;MG;33200000001094;33200000000933
33200000000399;MTE/SRTE-SP/.../ARTE-ORLANDIA;ARTE-ORLAN;SP;33200000001094;33200000000396
33200000000208;MTE/SRTE-RS/ARTE-OSORIO;ARTE-OSORI;RS;33200000001094;33200000000199
33200000000367;MTE/SRTE-SP/.../ARTE-OSVALDO CRUZ;ARTE-OSVAL;SP;33200000001094;33200000000365
33200000000620;ARTE EM OURICURI;ARTE-OURIC;PE;33200000001094;33200000000619
33200000001479;AG REGIONAL DO TRAB E EMPR EM OURICURI;ARTE-OURIC;PE;33200000001094;33200000000619
33200000001657;ARTE-OURO-PR;ARTE-OURO-;MG;33200000001094;33200000000886
33200000000888;ARTE EM OURO PRETO;ARTE-OUROP;MG;33200000001094;33200000000886
33200000000827;ARTE EM PALMEIRA DOS INDIOS;ARTE-PALDO;AL;33200000001094;33200000000825
